masv,mamh,diem
C0108,LQL2,5.5
C0108,NMLT,10.0
C0108,TOA1,10.0
C0108,TOA2,9.0
C0108,TTNT,5.0
C0109,CSD1,10.0
C0109,CSD2,9.5
C0109,CTDL,7.0
C0109,KTLT,9.0
C0109,LQL1,8.0
C0109,LQL2,6.0
C0109,NMLT,7.0
C0109,TOA1,8.5
C0109,TOA2,8.0
C0109,TTNT,9.0
C0110,CSD1,6.5
C0110,CSD2,5.5
C0110,CTDL,6.5
C0110,KTLT,4.0
C0110,LQL1,8.0
C0110,LQL2,8.0
C0110,NMLT,7.0
C0110,TOA1,8.5
C0110,TOA2,5.0
C0110,TTNT,8.0
C0111,CSD1,8.0
C0111,CSD2,6.0
C0111,CTDL,9.5
C0111,KTLT,9.5
C0111,LQL1,4.0
C0111,LQL2,4.0
C0111,NMLT,4.0
C0111,TOA1,7.0
C0111,TOA2,5.5
C0111,TTNT,9.5
C0112,CSD1,6.0
C0112,CSD2,7.0
C0112,CTDL,5.0
C0112,KTLT,6.0
C0112,LQL1,7.0
C0112,LQL2,8.0
C0112,NMLT,8.0
C0112,TOA1,9.5
C0112,TOA2,6.0
C0112,TTNT,7.0
C0113,CSD1,5.5
C0113,CSD2,7.0
C0113,CTDL,4.0
C0113,KTLT,4.0
C0113,LQL1,10.0
C0113,LQL2,7.5
C0113,NMLT,4.0
C0113,TOA1,8.5
C0113,TOA2,6.5
C0113,TTNT,8.0
C0114,CSD1,8.5
C0114,CSD2,4.5
C0114,CTDL,6.0
C0114,KTLT,8.0
C0114,LQL1,8.5
C0114,LQL2,6.5
C0114,NMLT,7.5
C0114,TOA1,5.5
C0114,TOA2,10.0
C0114,TTNT,6.0
C0115,CSD1,6.0
C0115,CSD2,8.0
C0115,CTDL,10.0
C0115,KTLT,9.0
C0115,LQL1,10.0
C0115,LQL2,8.0
C0115,NMLT,5.5
C0115,TOA1,6.5
C0115,TOA2,6.0
C0115,TTNT,6.0
C0116,CSD1,5.5
C0116,CSD2,4.5
C0116,CTDL,6.5
C0116,KTLT,8.5
C0116,LQL1,8.0
C0116,LQL2,8.5
C0116,NMLT,10.0
C0116,TOA1,6.0
C0116,TOA2,8.5
C0116,TTNT,4.5
C0117,CSD1,8.5
C0117,CSD2,6.5
C0117,CTDL,6.5
C0117,KTLT,6.0
C0117,LQL1,6.5
C0117,LQL2,9.0
C0117,NMLT,9.0
C0117,TOA1,4.5
C0117,TOA2,8.0
C0117,TTNT,4.0
C0118,CSD1,10.0
C0118,CSD2,7.5
C0118,CTDL,6.0
C0118,KTLT,8.5
C0118,LQL1,5.5
C0118,LQL2,5.0
C0118,NMLT,9.0
C0118,TOA1,5.0
C0118,TOA2,5.0
C0118,TTNT,8.5
C0119,CSD1,5.5
C0119,CSD2,6.0
C0119,CTDL,9.0
C0119,KTLT,10.0
C0119,LQL1,9.5
C0119,LQL2,9.5
C0119,NMLT,5.5
C0119,TOA1,9.0
C0119,TOA2,10.0
C0119,TTNT,5.5
C0120,CSD1,5.5
C0120,CSD2,5.5
C0120,CTDL,10.0
C0120,KTLT,5.5
C0120,LQL1,9.0
C0120,LQL2,7.0
C0120,NMLT,8.5
C0120,TOA1,6.0
C0120,TOA2,7.5
C0120,TTNT,5.5
C0121,CSD1,5.5
C0121,CSD2,7.5
C0121,CTDL,8.5
C0121,KTLT,9.0
C0121,LQL1,4.0
C0121,LQL2,9.5
C0121,NMLT,4.0
C0121,TOA1,7.0
C0121,TOA2,5.0
C0121,TTNT,9.0
C0122,CSD1,6.5
C0122,CSD2,6.0
C0122,CTDL,6.5
C0122,KTLT,7.5
C0122,LQL1,7.0
C0122,LQL2,4.5
C0122,NMLT,8.5
C0122,TOA1,8.0
C0122,TOA2,6.0
C0122,TTNT,5.5
C0123,CSD1,6.5
C0123,CSD2,9.0
C0123,CTDL,7.5
C0123,KTLT,10.0
C0123,LQL1,7.0
C0123,LQL2,10.0
C0123,NMLT,7.0
C0123,TOA1,7.5
C0123,TOA2,4.0
C0123,TTNT,6.5
C0124,CSD1,5.0
C0124,CSD2,7.5
C0124,CTDL,8.0
C0124,KTLT,7.0
C0124,LQL1,9.5
C0124,LQL2,9.0
C0124,NMLT,5.0
C0124,TOA1,5.0
C0124,TOA2,8.0
C0124,TTNT,7.5
C0125,CSD1,7.0
C0125,CSD2,5.0
C0125,CTDL,8.0
C0125,KTLT,6.0
C0125,LQL1,7.0
C0125,LQL2,9.0
C0125,NMLT,6.5
C0125,TOA1,7.0
C0125,TOA2,7.5
C0125,TTNT,6.0
C0126,CSD1,6.0
C0126,CSD2,9.5
C0126,CTDL,5.0
C0126,KTLT,10.0
C0126,LQL1,8.5
C0126,LQL2,7.5
C0126,NMLT,6.0
C0126,TOA1,9.0
C0126,TOA2,9.0
C0126,TTNT,9.0
C0127,CSD1,4.5
C0127,CSD2,4.0
C0127,CTDL,5.0
C0127,KTLT,5.0
C0127,LQL1,10.0
C0127,LQL2,6.5
C0127,NMLT,8.0
C0127,TOA1,4.0
C0127,TOA2,10.0
C0127,TTNT,7.5
C0128,CSD1,5.5
C0128,CSD2,5.5
C0128,CTDL,7.0
C0128,KTLT,9.0
C0128,LQL1,9.5
C0128,LQL2,6.0
C0128,NMLT,6.5
C0128,TOA1,7.5
C0128,TOA2,8.0
C0128,TTNT,7.5
C0129,CSD1,9.5
C0129,CSD2,5.0
C0129,CTDL,9.5
C0129,KTLT,9.0
C0129,LQL1,9.5
C0129,LQL2,6.0
C0129,NMLT,8.0
C0129,TOA1,6.0
C0129,TOA2,7.5
C0129,TTNT,6.5
C0130,CSD1,9.0
C0130,CSD2,7.0
C0130,CTDL,8.5
C0130,KTLT,9.5
C0130,LQL1,9.5
C0130,LQL2,9.5
C0130,NMLT,5.5
C0130,TOA1,5.0
C0130,TOA2,6.5
C0130,TTNT,7.0
C0131,CSD1,5.0
C0131,CSD2,5.0
C0131,CTDL,5.5
C0131,KTLT,9.0
C0131,LQL1,8.0
C0131,LQL2,4.0
C0131,NMLT,5.0
C0131,TOA1,4.0
C0131,TOA2,9.5
C0131,TTNT,8.5
C0132,CSD1,9.5
C0132,CSD2,9.5
C0132,CTDL,6.0
C0132,KTLT,6.5
C0132,LQL1,10.0
C0132,LQL2,6.0
C0132,NMLT,8.0
C0132,TOA1,7.5
C0132,TOA2,7.0
C0132,TTNT,10.0
C0133,CSD1,7.0
C0133,CSD2,5.5
C0133,CTDL,9.5
C0133,KTLT,8.0
C0133,LQL1,5.0
C0133,LQL2,9.0
C0133,NMLT,10.0
C0133,TOA1,4.5
C0133,TOA2,5.0
C0133,TTNT,8.0
C0134,CSD1,9.0
C0134,CSD2,5.5
C0134,CTDL,5.0
C0134,KTLT,10.0
C0134,LQL1,5.5
C0134,LQL2,5.0
C0134,NMLT,8.5
C0134,TOA1,4.0
C0134,TOA2,10.0
C0134,TTNT,6.0
C0135,CSD1,7.5
C0135,CSD2,7.0
C0135,CTDL,5.0
C0135,KTLT,9.0
C0135,LQL1,9.5
C0135,LQL2,9.0
C0135,NMLT,8.0
C0135,TOA1,5.0
C0135,TOA2,9.0
C0135,TTNT,5.5
C0136,CSD1,7.0
C0136,CSD2,7.5
C0136,CTDL,5.5
C0136,KTLT,9.0
C0136,LQL1,7.0
C0136,LQL2,8.5
C0136,NMLT,5.0
C0136,TOA1,6.5
C0136,TOA2,6.0
C0136,TTNT,10.0
C0137,CSD1,4.5
C0137,CSD2,7.5
C0137,CTDL,8.0
C0137,KTLT,7.0
C0137,LQL1,10.0
C0137,LQL2,10.0
C0137,NMLT,7.0
C0137,TOA1,5.0
C0137,TOA2,4.0
C0137,TTNT,6.0
C0138,CSD1,7.0
C0138,CSD2,10.0
C0138,CTDL,8.0
C0138,KTLT,5.5
C0138,LQL1,9.0
C0138,LQL2,5.5
C0138,NMLT,4.0
C0138,TOA1,9.0
C0138,TOA2,7.0
C0138,TTNT,6.5
C0139,CSD1,5.5
C0139,CSD2,6.0
C0139,CTDL,10.0
C0139,KTLT,8.5
C0139,LQL1,7.0
C0139,LQL2,9.5
C0139,NMLT,5.5
C0139,TOA1,5.0
C0139,TOA2,8.5
C0139,TTNT,6.0
C0140,CSD1,10.0
C0140,CSD2,8.5
C0140,CTDL,9.5
C0140,KTLT,9.5
C0140,LQL1,7.5
C0140,LQL2,6.0
C0140,NMLT,8.5
C0140,TOA1,6.0
C0140,TOA2,8.0
C0140,TTNT,9.0
C0141,CSD1,9.0
C0141,CSD2,7.5
C0141,CTDL,9.0
C0141,KTLT,9.5
C0141,LQL1,5.5
C0141,LQL2,4.5
C0141,NMLT,9.0
C0141,TOA1,10.0
C0141,TOA2,6.0
C0141,TTNT,4.5
C0142,CSD1,5.5
C0142,CSD2,6.0
C0142,CTDL,7.5
C0142,KTLT,5.5
C0142,LQL1,8.5
C0142,LQL2,4.5
C0142,NMLT,5.0
C0142,TOA1,6.5
C0142,TOA2,7.0
C0142,TTNT,7.5
C0143,CSD1,10.0
C0143,CSD2,9.0
C0143,CTDL,7.5
C0143,KTLT,9.0
C0143,LQL1,6.0
C0143,LQL2,5.5
C0143,NMLT,7.0
C0143,TOA1,8.0
C0143,TOA2,8.5
C0143,TTNT,8.0
C0144,CSD1,9.5
C0144,CSD2,5.5
C0144,CTDL,5.5
C0144,KTLT,6.0
C0144,LQL1,6.0
C0144,LQL2,4.5
C0144,NMLT,6.5
C0144,TOA1,8.0
C0144,TOA2,9.5
C0144,TTNT,8.0
C0145,CSD1,7.5
C0145,CSD2,7.5
C0145,CTDL,9.0
C0145,KTLT,7.0
C0145,LQL1,5.5
C0145,LQL2,4.5
C0145,NMLT,6.5
C0145,TOA1,7.0
C0145,TOA2,7.0
C0145,TTNT,9.5
C0146,CSD1,6.0
C0146,CSD2,5.0
C0146,CTDL,8.0
C0146,KTLT,10.0
C0146,LQL1,9.5
C0146,LQL2,5.0
C0146,NMLT,9.0
C0146,TOA1,7.0
C0146,TOA2,4.5
C0146,TTNT,7.0
C0147,CSD1,9.0
C0147,CSD2,10.0
C0147,CTDL,9.5
C0147,KTLT,6.5
C0147,LQL1,5.0
C0147,LQL2,8.0
C0147,NMLT,7.0
C0147,TOA1,6.0
C0147,TOA2,6.5
C0147,TTNT,9.0
C0148,CSD1,6.5
C0148,CSD2,8.5
C0148,CTDL,6.0
C0148,KTLT,7.5
C0148,LQL1,7.5
C0148,LQL2,5.0
C0148,NMLT,4.0
C0148,TOA1,5.5
C0148,TOA2,10.0
C0148,TTNT,5.5
C0149,CSD1,8.0
C0149,CSD2,10.0
C0149,CTDL,8.5
C0149,KTLT,7.5
C0149,LQL1,9.0
C0149,LQL2,7.0
C0149,NMLT,6.0
C0149,TOA1,6.0
C0149,TOA2,10.0
C0149,TTNT,7.0
C0150,CSD1,5.5
C0150,CSD2,8.0
C0150,CTDL,6.0
C0150,KTLT,8.0
C0150,LQL1,6.0
C0150,LQL2,10.0
C0150,NMLT,8.0
C0150,TOA1,7.0
C0150,TOA2,8.0
C0150,TTNT,5.0
C0151,CSD1,5.5
C0151,CSD2,6.0
C0151,CTDL,5.5
C0151,KTLT,5.0
C0151,LQL1,8.0
C0151,LQL2,6.5
C0151,NMLT,7.5
C0151,TOA1,5.0
C0151,TOA2,7.5
C0151,TTNT,7.5
C0152,CSD1,5.0
C0152,CSD2,7.5
C0152,CTDL,6.0
C0152,KTLT,4.0
C0152,LQL1,9.0
C0152,LQL2,6.0
C0152,NMLT,7.0
C0152,TOA1,4.0
C0152,TOA2,8.5
C0152,TTNT,4.5
C0153,CSD1,5.0
C0153,CSD2,10.0
C0153,CTDL,7.0
C0153,KTLT,7.5
C0153,LQL1,9.5
C0153,LQL2,9.0
C0153,NMLT,7.0
C0153,TOA1,5.0
C0153,TOA2,6.0
C0153,TTNT,4.0
C0154,CSD1,9.5
C0154,CSD2,9.5
C0154,CTDL,8.5
C0154,KTLT,9.5
C0154,LQL1,7.5
C0154,LQL2,9.5
C0154,NMLT,10.0
C0154,TOA1,8.0
C0154,TOA2,5.0
C0154,TTNT,9.0
C0155,CSD1,5.5
C0155,CSD2,5.5
C0155,CTDL,7.0
C0155,KTLT,7.0
C0155,LQL1,4.0
C0155,LQL2,4.0
C0155,NMLT,9.0
C0155,TOA1,9.0
C0155,TOA2,6.5
C0155,TTNT,8.0
C0156,CSD1,6.5
C0156,CSD2,7.5
C0156,CTDL,7.5
C0156,KTLT,9.5
C0156,LQL1,8.5
C0156,LQL2,6.5
C0156,NMLT,8.5
C0156,TOA1,6.0
C0156,TOA2,8.5
C0156,TTNT,8.0
C0157,CSD1,9.0
C0157,CSD2,5.5
C0157,CTDL,8.0
C0157,KTLT,6.0
C0157,LQL1,5.5
C0157,LQL2,7.0
C0157,NMLT,5.5
C0157,TOA1,8.5
C0157,TOA2,4.0
C0157,TTNT,10.0
C0158,CSD1,9.0
C0158,CSD2,6.5
C0158,CTDL,7.5
C0158,KTLT,7.0
C0158,LQL1,6.0
C0158,LQL2,8.5
C0158,NMLT,6.0
C0158,TOA1,7.5
C0158,TOA2,7.0
C0158,TTNT,9.0
C0159,CSD1,9.0
C0159,CSD2,7.5
C0159,CTDL,5.0
C0159,KTLT,9.5
C0159,LQL1,5.0
C0159,LQL2,5.0
C0159,NMLT,10.0
C0159,TOA1,7.5
C0159,TOA2,5.0
C0159,TTNT,9.0
C0160,CSD1,7.0
C0160,CSD2,6.0
C0160,CTDL,7.0
C0160,KTLT,9.0
C0160,LQL1,10.0
C0160,LQL2,7.0
C0160,NMLT,8.5
C0160,TOA1,9.0
C0160,TOA2,9.0
C0160,TTNT,10.0
C0161,CSD1,7.5
C0161,CSD2,8.5
C0161,CTDL,4.5
C0161,KTLT,5.5
C0161,LQL1,5.5
C0161,LQL2,10.0
C0161,NMLT,7.0
C0161,TOA1,9.0
C0161,TOA2,8.0
C0161,TTNT,10.0
C0162,CSD1,9.0
C0162,CSD2,10.0
C0162,CTDL,9.0
C0162,KTLT,5.5
C0162,LQL1,9.0
C0162,LQL2,4.5
C0162,NMLT,8.5
C0162,TOA1,9.5
C0162,TOA2,6.0
C0162,TTNT,7.0
C0163,CSD1,9.0
C0163,CSD2,6.5
C0163,CTDL,4.5
C0163,KTLT,7.0
C0163,LQL1,7.5
C0163,LQL2,5.0
C0163,NMLT,9.0
C0163,TOA1,5.0
C0163,TOA2,8.5
C0163,TTNT,10.0
C0164,CSD1,4.0
C0164,CSD2,9.0
C0164,CTDL,6.0
C0164,KTLT,5.5
C0164,LQL1,5.0
C0164,LQL2,10.0
C0164,NMLT,4.0
C0164,TOA1,8.0
C0164,TOA2,8.5
C0164,TTNT,7.5
C0165,CSD1,10.0
C0165,CSD2,10.0
C0165,CTDL,6.0
C0165,KTLT,8.5
C0165,LQL1,9.0
C0165,LQL2,5.0
C0165,NMLT,5.0
C0165,TOA1,9.0
C0165,TOA2,8.0
C0165,TTNT,5.0
C0166,CSD1,8.0
C0166,CSD2,5.5
C0166,CTDL,7.0
C0166,KTLT,9.5
C0166,LQL1,7.0
C0166,LQL2,5.0
C0166,NMLT,8.5
C0166,TOA1,8.5
C0166,TOA2,7.5
C0166,TTNT,6.0
C0167,CSD1,10.0
C0167,CSD2,8.5
C0167,CTDL,4.0
C0167,KTLT,10.0
C0167,LQL1,9.0
C0167,LQL2,8.0
C0167,NMLT,7.5
C0167,TOA1,6.0
C0167,TOA2,5.5
C0167,TTNT,5.5
C0168,CSD1,7.5
C0168,CSD2,7.0
C0168,CTDL,7.0
C0168,KTLT,9.0
C0168,LQL1,6.5
C0168,LQL2,4.5
C0168,NMLT,5.5
C0168,TOA1,4.0
C0168,TOA2,8.5
C0168,TTNT,9.0
C0169,CSD1,5.0
C0169,CSD2,9.5
C0169,CTDL,4.5
C0169,KTLT,6.0
C0169,LQL1,9.0
C0169,LQL2,8.5
C0169,NMLT,4.0
C0169,TOA1,6.5
C0169,TOA2,5.5
C0169,TTNT,5.5
C0170,CSD1,7.0
C0170,CSD2,4.5
C0170,CTDL,6.5
C0170,KTLT,9.0
C0170,LQL1,7.5
C0170,LQL2,8.5
C0170,NMLT,6.0
C0170,TOA1,6.5
C0170,TOA2,8.5
C0170,TTNT,6.0
C0171,CSD1,6.0
C0171,CSD2,7.5
C0171,CTDL,5.0
C0171,KTLT,6.0
C0171,LQL1,6.0
C0171,LQL2,6.0
C0171,NMLT,9.0
C0171,TOA1,7.0
C0171,TOA2,6.5
C0171,TTNT,4.5
C0172,CSD1,5.0
C0172,CSD2,6.5
C0172,CTDL,9.5
C0172,KTLT,5.0
C0172,LQL1,7.5
C0172,LQL2,5.0
C0172,NMLT,7.0
C0172,TOA1,10.0
C0172,TOA2,6.0
C0172,TTNT,7.0
C0173,CSD1,8.5
C0173,CSD2,10.0
C0173,CTDL,9.0
C0173,KTLT,6.5
C0173,LQL1,5.5
C0173,LQL2,6.5
C0173,NMLT,5.0
C0173,TOA1,5.0
C0173,TOA2,7.5
C0173,TTNT,5.5
C0174,CSD1,7.5
C0174,CSD2,9.0
C0174,CTDL,8.5
C0174,KTLT,6.0
C0174,LQL1,5.5
C0174,LQL2,8.0
C0174,NMLT,5.5
C0174,TOA1,7.0
C0174,TOA2,6.5
C0174,TTNT,5.5
C0175,CSD1,7.5
C0175,CSD2,8.0
C0175,CTDL,6.5
C0175,KTLT,7.0
C0175,LQL1,4.5
C0175,LQL2,5.5
C0175,NMLT,9.0
C0175,TOA1,9.0
C0175,TOA2,9.0
C0175,TTNT,4.0
C0176,CSD1,9.5
C0176,CSD2,6.5
C0176,CTDL,6.0
C0176,KTLT,8.5
C0176,LQL1,5.0
C0176,LQL2,8.0
C0176,NMLT,5.0
C0176,TOA1,8.0
C0176,TOA2,9.5
C0176,TTNT,7.0
C0177,CSD1,9.5
C0177,CSD2,8.5
C0177,CTDL,5.0
C0177,KTLT,6.5
C0177,LQL1,6.0
C0177,LQL2,7.5
C0177,NMLT,8.0
C0177,TOA1,7.5
C0177,TOA2,6.5
C0177,TTNT,6.0
C0178,CSD1,6.5
C0178,CSD2,6.5
C0178,CTDL,9.0
C0178,KTLT,9.5
C0178,LQL1,5.0
C0178,LQL2,5.5
C0178,NMLT,9.0
C0178,TOA1,4.5
C0178,TOA2,5.5
C0178,TTNT,7.0
C0179,CSD1,5.0
C0179,CSD2,6.5
C0179,CTDL,9.0
C0179,KTLT,10.0
C0179,LQL1,5.0
C0179,LQL2,9.0
C0179,NMLT,6.0
C0179,TOA1,9.5
C0179,TOA2,8.0
C0179,TTNT,8.5
C0180,CSD1,9.0
C0180,CSD2,8.0
C0180,CTDL,9.0
C0180,KTLT,9.5
C0180,LQL1,5.0
C0180,LQL2,7.5
C0180,NMLT,7.5
C0180,TOA1,10.0
C0180,TOA2,5.0
C0180,TTNT,7.5
C0181,CSD1,8.5
C0181,CSD2,5.0
C0181,CTDL,8.0
C0181,KTLT,9.5
C0181,LQL1,6.0
C0181,LQL2,6.0
C0181,NMLT,6.5
C0181,TOA1,10.0
C0181,TOA2,5.5
C0181,TTNT,5.5
C0182,CSD1,8.5
C0182,CSD2,10.0
C0182,CTDL,4.0
C0182,KTLT,6.0
C0182,LQL1,8.0
C0182,LQL2,5.0
C0182,NMLT,8.0
C0182,TOA1,8.0
C0182,TOA2,9.0
C0182,TTNT,6.0
C0183,CSD1,4.0
C0183,CSD2,6.5
C0183,CTDL,8.5
C0183,KTLT,8.0
C0183,LQL1,6.0
C0183,LQL2,7.5
C0183,NMLT,7.0
C0183,TOA1,6.0
C0183,TOA2,6.5
C0183,TTNT,7.5
C0184,CSD1,7.0
C0184,CSD2,8.0
C0184,CTDL,6.5
C0184,KTLT,8.0
C0184,LQL1,10.0
C0184,LQL2,6.0
C0184,NMLT,5.5
C0184,TOA1,8.0
C0184,TOA2,9.0
C0184,TTNT,7.0
C0185,CSD1,9.5
C0185,CSD2,9.0
C0185,CTDL,7.5
C0185,KTLT,8.5
C0185,LQL1,9.5
C0185,LQL2,5.0
C0185,NMLT,8.0
C0185,TOA1,8.5
C0185,TOA2,7.0
C0185,TTNT,7.0
C0186,CSD1,8.0
C0186,CSD2,5.5
C0186,CTDL,9.5
C0186,KTLT,8.5
C0186,LQL1,7.0
C0186,LQL2,6.0
C0186,NMLT,5.0
C0186,TOA1,7.5
C0186,TOA2,6.0
C0186,TTNT,7.0
C0187,CSD1,8.0
C0187,CSD2,5.0
C0187,CTDL,8.0
C0187,KTLT,5.0
C0187,LQL1,6.5
C0187,LQL2,8.0
C0187,NMLT,5.5
C0187,TOA1,9.0
C0187,TOA2,6.5
C0187,TTNT,4.0
C0188,CSD1,7.0
C0188,CSD2,5.0
C0188,CTDL,5.5
C0188,KTLT,7.5
C0188,LQL1,10.0
C0188,LQL2,5.5
C0188,NMLT,7.0
C0188,TOA1,8.0
C0188,TOA2,4.5
C0188,TTNT,8.0
C0189,CSD1,6.5
C0189,CSD2,5.5
C0189,CTDL,8.5
C0189,KTLT,9.0
C0189,LQL1,9.5
C0189,LQL2,9.5
C0189,NMLT,5.5
C0189,TOA1,6.5
C0189,TOA2,7.5
C0189,TTNT,6.0
C0190,CSD1,7.0
C0190,CSD2,8.0
C0190,CTDL,8.0
C0190,KTLT,8.0
C0190,LQL1,7.0
C0190,LQL2,8.0
C0190,NMLT,6.0
C0190,TOA1,9.5
C0190,TOA2,9.5
C0190,TTNT,9.0
C0191,CSD1,6.5
C0191,CSD2,8.5
C0191,CTDL,7.5
C0191,KTLT,8.5
C0191,LQL1,8.5
C0191,LQL2,9.5
C0191,NMLT,4.0
C0191,TOA1,6.0
C0191,TOA2,7.0
C0191,TTNT,5.5
C0192,CSD1,9.5
C0192,CSD2,6.0
C0192,CTDL,6.0
C0192,KTLT,5.5
C0192,LQL1,5.5
C0192,LQL2,10.0
C0192,NMLT,5.0
C0192,TOA1,10.0
C0192,TOA2,9.0
C0192,TTNT,5.0
C0193,CSD1,7.5
C0193,CSD2,5.5
C0193,CTDL,7.0
C0193,KTLT,5.0
C0193,LQL1,5.0
C0193,LQL2,5.0
C0193,NMLT,10.0
C0193,TOA1,7.5
C0193,TOA2,7.0
C0193,TTNT,4.0
C0194,CSD1,5.0
C0194,CSD2,7.0
C0194,CTDL,8.5
C0194,KTLT,6.0
C0194,LQL1,9.0
C0194,LQL2,6.5
C0194,NMLT,7.0
C0194,TOA1,7.5
C0194,TOA2,10.0
C0194,TTNT,9.0
C0195,CSD1,9.5
C0195,CSD2,9.5
C0195,CTDL,5.0
C0195,KTLT,5.5
C0195,LQL1,9.0
C0195,LQL2,5.5
C0195,NMLT,7.0
C0195,TOA1,8.0
C0195,TOA2,6.5
C0195,TTNT,8.0
C0196,CSD1,7.0
C0196,CSD2,8.0
C0196,CTDL,6.0
C0196,KTLT,4.0
C0196,LQL1,9.0
C0196,LQL2,9.5
C0196,NMLT,9.0
C0196,TOA1,4.0
C0196,TOA2,10.0
C0196,TTNT,9.5
C0197,CSD1,10.0
C0197,CSD2,6.5
C0197,CTDL,8.5
C0197,KTLT,6.5
C0197,LQL1,10.0
C0197,LQL2,5.0
C0197,NMLT,7.0
C0197,TOA1,5.0
C0197,TOA2,10.0
C0197,TTNT,5.0
C0198,CSD1,9.0
C0198,CSD2,7.0
C0198,CTDL,9.0
C0198,KTLT,5.5
C0198,LQL1,8.0
C0198,LQL2,10.0
C0198,NMLT,7.0
C0198,TOA1,10.0
C0198,TOA2,6.0
C0198,TTNT,9.5
C0199,CSD1,7.0
C0199,CSD2,8.5
C0199,CTDL,9.0
C0199,KTLT,7.0
C0199,LQL1,7.0
C0199,LQL2,6.5
C0199,NMLT,7.5
C0199,TOA1,6.5
C0199,TOA2,10.0
C0199,TTNT,9.0
C0200,CSD1,6.0
C0200,CSD2,9.0
C0200,CTDL,5.5
C0200,KTLT,6.5
C0200,LQL1,10.0
C0200,LQL2,8.0
C0200,NMLT,7.5
C0200,TOA1,7.0
C0200,TOA2,5.5
C0200,TTNT,5.5
C0201,CSD1,7.5
C0201,CSD2,9.5
C0201,CTDL,10.0
C0201,KTLT,4.5
C0201,LQL1,7.0
C0201,LQL2,8.0
C0201,NMLT,10.0
C0201,TOA1,6.0
C0201,TOA2,5.0
C0201,TTNT,7.5
C0202,CSD1,10.0
C0202,CSD2,6.0
C0202,CTDL,7.5
C0202,KTLT,9.0
C0202,LQL1,7.5
C0202,LQL2,7.0
C0202,NMLT,8.5
C0202,TOA1,5.0
C0202,TOA2,8.5
C0202,TTNT,8.0
C0203,CSD1,7.0
C0203,CSD2,4.5
C0203,CTDL,9.5
C0203,KTLT,9.0
C0203,LQL1,8.5
C0203,LQL2,10.0
C0203,NMLT,8.5
C0203,TOA1,4.5
C0203,TOA2,8.5
C0203,TTNT,6.5
C0204,CSD1,9.5
C0204,CSD2,5.5
C0204,CTDL,10.0
C0204,KTLT,5.0
C0204,LQL1,5.5
C0204,LQL2,9.0
C0204,NMLT,5.5
C0204,TOA1,7.0
C0204,TOA2,4.5
C0204,TTNT,6.0
C0205,CSD1,9.5
C0205,CSD2,5.0
C0205,CTDL,8.5
C0205,KTLT,5.5
C0205,LQL1,6.0
C0205,LQL2,5.5
C0205,NMLT,7.5
C0205,TOA1,7.0
C0205,TOA2,7.0
C0205,TTNT,8.5
C0206,CSD1,9.0
C0206,CSD2,4.0
C0206,CTDL,9.5
C0206,KTLT,5.0
C0206,LQL1,9.5
C0206,LQL2,9.5
C0206,NMLT,8.5
C0206,TOA1,8.5
C0206,TOA2,7.0
C0206,TTNT,9.5
C0207,CSD1,6.0
C0207,CSD2,7.0
C0207,CTDL,9.5
C0207,KTLT,6.0
C0207,LQL1,10.0
C0207,LQL2,10.0
C0207,NMLT,6.0
C0207,TOA1,9.0
C0207,TOA2,7.5
C0207,TTNT,8.5
C0208,CSD1,7.0
C0208,CSD2,9.0
C0208,CTDL,8.0
C0208,KTLT,5.0
C0208,LQL1,6.0
C0208,LQL2,7.5
C0208,NMLT,5.0
C0208,TOA1,8.5
C0208,TOA2,10.0
C0208,TTNT,10.0
C0209,CSD1,8.5
C0209,CSD2,6.5
C0209,CTDL,6.5
C0209,KTLT,6.0
C0209,LQL1,9.5
C0209,LQL2,8.0
C0209,NMLT,6.0
C0209,TOA1,7.5
C0209,TOA2,8.5
C0209,TTNT,9.0
C0210,CSD1,7.0
C0210,CSD2,4.0
C0210,CTDL,8.0
C0210,KTLT,9.0
C0210,LQL1,9.0
C0210,LQL2,6.0
C0210,NMLT,10.0
C0210,TOA1,9.0
C0210,TOA2,8.0
C0210,TTNT,8.5
C0211,CSD1,6.0
C0211,CSD2,8.0
C0211,CTDL,9.0
C0211,KTLT,4.5
C0211,LQL1,4.0
C0211,LQL2,8.5
C0211,NMLT,9.0
C0211,TOA1,4.0
C0211,TOA2,7.5
C0211,TTNT,7.0
C0212,CSD1,10.0
C0212,CSD2,4.5
C0212,CTDL,7.0
C0212,KTLT,9.5
C0212,LQL1,6.0
C0212,LQL2,5.0
C0212,NMLT,9.0
C0212,TOA1,9.0
C0212,TOA2,9.5
C0212,TTNT,10.0
C0213,CSD1,4.0
C0213,CSD2,7.0
C0213,CTDL,8.0
C0213,KTLT,6.5
C0213,LQL1,8.0
C0213,LQL2,8.0
C0213,NMLT,4.5
C0213,TOA1,6.5
C0213,TOA2,5.5
C0213,TTNT,4.0
C0214,CSD1,6.5
C0214,CSD2,9.0
C0214,CTDL,9.5
C0214,KTLT,8.0
C0214,LQL1,7.0
C0214,LQL2,6.0
C0214,NMLT,6.5
C0214,TOA1,8.0
C0214,TOA2,7.0
C0214,TTNT,7.0
C0215,CSD1,8.5
C0215,CSD2,10.0
C0215,CTDL,7.0
C0215,KTLT,9.5
C0215,LQL1,9.5
C0215,LQL2,8.0
C0215,NMLT,10.0
C0215,TOA1,7.0
C0215,TOA2,6.0
C0215,TTNT,4.0
C0216,CSD1,7.0
